"cnty_fips","display_name","theme_range","Stroke_Death_Rate_Per_100000","dm_prev_adj","ob_prev_adj","no_hsdip","no_college","female_hd","foodstmp","income","home_val","povpct","GINI - Income Inequality","perc_api","perc_aian","perc_black","perc_white","perc_hisp","perc_65up","total_cost"
"37001","""Alamance, (NC)""","80.2 - 85 (20)","81.5","10.1","32.9","15.3","77.9","14.2","15.7","41.6","143.5","18.9","0.46","1.5","0.2","18.4","65.5","12","16","17486"
"37003","""Alexander, (NC)""","74 - 80.1 (20)","79.4","9.8","32.2","19.4","86.7","9.9","15.1","41.1","125.5","15.5","0.428","1.2","0","5.7","87.3","4.4","18.4","16488"
"37005","""Alleghany, (NC)""","61.1 - 73.9 (20)","70.6","9.7","28.2","19","81.4","9.3","17.6","36.1","140.7","22.9","0.422","0.1","0","2.4","87.5","9.3","23.7","17447"
"37007","""Anson, (NC)""","94.4 - 180.7 (20)","97.4","12.7","34.6","19.6","90.5","17.8","27.1","35.3","79.9","25.2","0.447","1.1","0.2","48.7","45","3.6","16.1","19262"
"37009","""Ashe, (NC)""","61.1 - 73.9 (20)","61.1","9.3","30","16.7","80.5","11.7","17.6","35.2","143.7","20.2","0.447","0.3","0.3","0.7","92.6","5.1","22.9","17918"
"37011","""Avery, (NC)""","74 - 80.1 (20)","75.2","10.5","27.7","21","80.2","7.1","14","37.1","130.9","19.7","0.491","0.4","0.4","3.6","89.2","5","20.4","20055"
"37013","""Beaufort, (NC)""","85.1 - 94.3 (20)","87.7","11.5","35","15.4","81.4","12","21.3","41.7","122.1","19.2","0.451","0","0.1","25.2","65.9","7.4","21.7","15856"
"37015","""Bertie, (NC)""","85.1 - 94.3 (20)","88.4","10.8","36.8","25.2","88.5","20.2","29.8","32","79.9","24.8","0.456","0.5","0.5","61.8","34.5","1.9","19.6","19511"
"37017","""Bladen, (NC)""","80.2 - 85 (20)","84","12.1","38.3","21.6","85.2","18.8","25.3","33.9","85.7","25.4","0.483","0","2.2","34.7","54.2","7.4","18.4","23489"
"37019","""Brunswick, (NC)""","80.2 - 85 (20)","84.5","8.3","28.1","12","73","10.2","14.4","48.8","189.5","14.3","0.453","1.1","0.2","10.4","81.4","4.7","26.9","15571"
"37021","""Buncombe, (NC)""","80.2 - 85 (20)","80.4","7.9","22.3","10","63.4","9.6","15.3","45.1","198.1","15.2","0.464","1.2","0.3","6","83.8","6.2","18","17136"
"37023","""Burke, (NC)""","85.1 - 94.3 (20)","93.4","9.4","31.7","20.4","83.1","13","17.5","42.7","113.6","16.7","0.44","3.6","0.4","6.1","82.2","5.8","18.2","18225"
"37025","""Cabarrus, (NC)""","85.1 - 94.3 (20)","85.5","9.1","30.7","11.1","71.4","12","12.6","57.9","171","10.8","0.426","2.7","0.2","16.2","68.9","9.8","12.5","20236"
"37027","""Caldwell, (NC)""","80.2 - 85 (20)","81.9","11.6","33.1","22.4","86.2","12.1","18.5","39.6","108.9","16.2","0.455","0.6","0.4","4.8","88.1","4.8","17.6","17285"
"37029","""Camden, (NC)""","61.1 - 73.9 (20)","72","10.1","30.6","16.8","79.6","14.3","9.8","62","216.6","9.7","0.391","2","0","14.1","80.4","2.6","15.8","16193"
"37031","""Carteret, (NC)""","74 - 80.1 (20)","77.3","8.3","25.9","10","74.1","11.2","13.1","50.8","197.6","13.8","0.46","1.1","0.3","5.7","86.3","4.1","21.8","17553"
"37033","""Caswell, (NC)""","74 - 80.1 (20)","75.3","10.6","33.1","24.9","86.8","13.5","22","40.5","99.5","20.1","0.432","0.7","0.1","32.5","61.2","3.5","19.3","21248"
"37035","""Catawba, (NC)""","85.1 - 94.3 (20)","89","11.2","30.1","16.6","78.4","11.9","18.1","41.7","137.6","15.1","0.455","3.9","0.2","8.3","76.6","8.9","16.1","15796"
"37037","""Chatham, (NC)""","61.1 - 73.9 (20)","69.4","8.9","25.3","13.1","61.2","8.3","9.6","58.9","243.9","11.6","0.477","1.4","0.2","11.6","71.7","12.3","23.8","14084"
"37039","""Cherokee, (NC)""","74 - 80.1 (20)","78.2","8.9","28","15.8","80.8","11.1","18.4","38.3","140.7","18.3","0.428","0.6","1.3","1.3","91.7","2.8","26.7","15584"
